SQL> start /home/jlin3/Desktop/lab5.sql

Procedure created.

No errors.
SQL> exec assignJobTitlesAndSalaries

PL/SQL procedure successfully completed.

SQL> Select * From AlphaCoEmp;

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Liddell-Westefeld	  assistant		   600000
Wear			  assistant		   600000
Yeager Kaplan		  director		   100000
McCarthy		  assistant		   600000
McGuire 		  assistant		   600000
Murtha			  supervisor		   800000
Papas			  manager		   500000
Parker			  assistant		   600000
Raizk			  manager		   500000
Reed			  secretary		    85000
Sahgal			  assistant		   600000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Schafer 		  secretary		    85000
Singiser		  supervisor		   800000
Swanson 		  supervisor		   800000
Tchen			  director		   100000
Agnew			  assistant		   600000
Beliveau		  assistant		   600000
Brennan 		  secretary		    85000
Cherlin 		  secretary		    85000
Cokley			  assistant		   600000
Colvin			  supervisor		   800000
Deese			  director		   100000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Donilon 		  assistant		   600000
Fernandez		  assistant		   600000
Frye			  director		   100000
Graham			  advisor		   130000
Hopkins 		  director		   100000
Johnson 		  secretary		    85000
Watson			  manager		   500000
Lovett			  supervisor		   800000
Massey			  advisor		   130000
McDonough		  supervisor		   800000
Miranda 		  supervisor		   800000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Odio			  secretary		    85000
Pope			  manager		   500000
Sutphen 		  manager		   500000
Asen			  assistant		   600000
Belive			  secretary		    85000
Brush			  director		   100000
Chen			  secretary		    85000
Chiodo			  director		   100000
Crowley 		  manager		   500000
Devine			  assistant		   600000
Edmonds 		  director		   100000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Favreau 		  supervisor		   800000
Gillette		  assistant		   600000
Grant			  manager		   500000
Harper			  assistant		   600000
Hurwitz 		  director		   100000
Kammerer		  supervisor		   800000
Kommareddi		  supervisor		   800000
Lerner			  advisor		   130000
Lippert 		  director		   100000
Lu			  advisor		   130000
Narechania		  supervisor		   800000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Pipkins 		  assistant		   600000
Posey			  assistant		   600000
Rittner 		  director		   100000
Samuels 		  secretary		    85000
Simas			  assistant		   600000
Skoczek 		  supervisor		   800000
Tranchin		  manager		   500000
Ayling			  advisor		   130000
Becnel			  assistant		   600000
Birdsall		  assistant		   600000
Branch			  secretary		    85000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Campos			  assistant		   600000
Cohen			  manager		   500000
Dunn			  assistant		   600000
Emanuel 		  advisor		   130000
Greene			  supervisor		   800000
Hernandez		  supervisor		   800000
Kochman 		  assistant		   600000
Krass			  assistant		   600000
Leitner-Laserna 	  advisor		   130000
Liegel			  director		   100000
Wade			  director		   100000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Love			  secretary		    85000
McGrath 		  supervisor		   800000
Neralla 		  director		   100000
Papa			  supervisor		   800000
Phadke			  supervisor		   800000
Pulliam 		  supervisor		   800000
Stickel 		  advisor		   130000
Stone			  director		   100000
Sweeney 		  advisor		   130000
Tennison		  secretary		    85000
Albino			  manager		   500000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Baldassaro		  secretary		    85000
Chambers		  director		   100000
Cunningham		  assistant		   600000
Fenn			  assistant		   600000
Finlen			  supervisor		   800000
Fitts			  supervisor		   800000
Gray			  supervisor		   800000
Hanson			  supervisor		   800000
Jabbour 		  assistant		   600000
Jarrett 		  secretary		    85000
Jean-Pierre		  assistant		   600000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Kelly			  director		   100000
Watkins 		  manager		   500000
Young			  director		   100000
Markovitz		  manager		   500000
McNeal			  director		   100000
Nathan			  director		   100000
Ocampo			  supervisor		   800000
Olson			  assistant		   600000
Ortiz			  supervisor		   800000
Pourmorad		  supervisor		   800000
Rosalsky		  manager		   500000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Schiliro		  assistant		   600000
Sheehy			  director		   100000
Swire			  assistant		   600000
Tubman			  assistant		   600000
Bressler		  manager		   500000
Carden			  manager		   500000
DuBois			  supervisor		   800000
Earnest 		  secretary		    85000
Garcia			  advisor		   130000
Hornsby 		  assistant		   600000
Jamison 		  secretary		    85000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
King			  supervisor		   800000
Kramer			  director		   100000
Lepow			  manager		   500000
Lorjuste		  secretary		    85000
Witt			  assistant		   600000
Mehrbani		  secretary		    85000
Moilanen		  assistant		   600000
Nelson			  director		   100000
Reeves			  director		   100000
Saunders		  supervisor		   800000
Maher			  secretary		    85000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Messina 		  supervisor		   800000
Newell			  director		   100000
Noel			  assistant		   600000
Oleske			  assistant		   600000
Page			  manager		   500000
Psaki			  secretary		    85000
Reinstein		  supervisor		   800000
Roche			  manager		   500000
Rouse			  director		   100000
Sathe			  advisor		   130000
Schulman		  manager		   500000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Seymour 		  supervisor		   800000
Shapiro 		  secretary		    85000
Shaw			  supervisor		   800000
Sher			  advisor		   130000
Showers 		  director		   100000
Siegel			  manager		   500000
Sirbu			  manager		   500000
Stephens		  advisor		   130000
Sutton			  assistant		   600000
Terry			  advisor		   130000
Vanderslice		  manager		   500000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Alley			  director		   100000
Anello			  assistant		   600000
Barnes			  supervisor		   800000
Bates			  director		   100000
Bedingfield		  assistant		   600000
Chaifetz		  manager		   500000
Clarke			  secretary		    85000
Cobbina 		  assistant		   600000
Crutchfield		  manager		   500000
Dalheim 		  supervisor		   800000
Adams			  director		   100000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Ealons			  supervisor		   800000
Escobar 		  supervisor		   800000
Farrell 		  manager		   500000
Gaspard 		  supervisor		   800000
Groth			  director		   100000
Heimbach		  supervisor		   800000
Jawando 		  secretary		    85000
Kennedy 		  director		   100000
Konwinski		  manager		   500000
Lewis			  supervisor		   800000
Limon			  advisor		   130000

NAME			  TITLE 		   SALARY
------------------------- -------------------- ----------
Loeb			  assistant		   600000
London			  advisor		   130000
White			  manager		   500000
Lynn			  assistant		   600000
Mackey			  assistant		   600000
McGinnis		  assistant		   600000
Mosteller		  manager		   500000
Mueller 		  assistant		   600000
Onek			  supervisor		   800000
Paulsen 		  director		   100000
Quinn			  assistant		   600000

NAME			  TITLE 		   SALARY
